"","200","500","800"
"New1",0.175,0.262,0.355
"New2",0.0865,0.101,0.1225
"New3",0.055,0.0545,0.0585
"oracle",0.052,0.0545,0.051
"chi",0.0535,0.0495,0.0415
"fast",0.0525,0.047,0.042
"CQ",0.0745,0.0665,0.063
"SD",0.0045,0.001,0.001
"ljw",0.041,0.045,0.043
